1,gestor_plataforma,Gestor Plataforma,web,,0,1,2024-07-24 15:43:06,2024-07-24 15:43:06
2,admin,Admin,web,,0,2,2024-07-24 15:43:07,2024-07-24 15:43:07
3,Admin#1,Admin,web,1,1,2,2024-07-31 08:34:15,2024-07-31 08:34:15
