60,nfce_create,Cria NFCe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
61,nfce_edit,Edita NFCe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
62,nfce_delete,Deleta NFCe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
63,nfce_transmitir,Transmitir NFCe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
64,nfce_inutiliza,Inutiliza NFce,web,2024-07-24 15:43:04,2024-07-24 15:43:04
65,cte_view,Visualiza CTe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
66,cte_create,Cria CTe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
67,cte_edit,Edita CTe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
68,cte_delete,Deleta CTe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
69,cte_os_view,Visualiza CTeOs,web,2024-07-24 15:43:04,2024-07-24 15:43:04
70,cte_os_create,Cria CTeOs,web,2024-07-24 15:43:04,2024-07-24 15:43:04
71,cte_os_edit,Edita CTeOs,web,2024-07-24 15:43:04,2024-07-24 15:43:04
72,cte_os_delete,Deleta CTeOs,web,2024-07-24 15:43:04,2024-07-24 15:43:04
73,mdfe_view,Visualiza MDFe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
74,mdfe_create,Cria MDFe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
75,mdfe_edit,Edita MDFe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
76,mdfe_delete,Deleta MDFe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
77,nfse_view,Visualiza NFSe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
78,nfse_create,Cria NFSe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
79,nfse_edit,Edita NFSe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
80,nfse_delete,Deleta NFSe,web,2024-07-24 15:43:04,2024-07-24 15:43:04
81,pdv_view,Visualiza PDV,web,2024-07-24 15:43:04,2024-07-24 15:43:04
82,pdv_create,Cria PDV,web,2024-07-24 15:43:04,2024-07-24 15:43:04
83,pdv_edit,Edita PDV,web,2024-07-24 15:43:04,2024-07-24 15:43:04
84,pdv_delete,Deleta PDV,web,2024-07-24 15:43:04,2024-07-24 15:43:04
85,pre_venda_view,Visualiza pré venda,web,2024-07-24 15:43:04,2024-07-24 15:43:04
86,pre_venda_create,Cria pré venda,web,2024-07-24 15:43:04,2024-07-24 15:43:04
87,pre_venda_edit,Edita pré venda,web,2024-07-24 15:43:04,2024-07-24 15:43:04
88,pre_venda_delete,Deleta pré venda,web,2024-07-24 15:43:04,2024-07-24 15:43:04
89,agendamento_view,Visualiza agendamento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
90,agendamento_create,Cria agendamento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
91,agendamento_edit,Edita agendamento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
92,agendamento_delete,Deleta agendamento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
93,servico_view,Visualiza serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
94,servico_create,Cria serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
95,servico_edit,Edita serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
96,servico_delete,Deleta serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
97,categoria_servico_view,Visualiza categoria de serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
98,categoria_servico_create,Cria categoria de serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
99,categoria_servico_edit,Edita categoria de serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
100,categoria_servico_delete,Deleta categoria de serviço,web,2024-07-24 15:43:04,2024-07-24 15:43:04
101,veiculos_view,Visualiza veículo,web,2024-07-24 15:43:04,2024-07-24 15:43:04
102,veiculos_create,Cria veículo,web,2024-07-24 15:43:04,2024-07-24 15:43:04
103,veiculos_edit,Edita veículo,web,2024-07-24 15:43:04,2024-07-24 15:43:04
104,veiculos_delete,Deleta veículo,web,2024-07-24 15:43:04,2024-07-24 15:43:04
105,atendimentos_view,Visualiza atendimento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
106,atendimentos_create,Cria atendimento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
107,atendimentos_edit,Edita atendimento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
108,atendimentos_delete,Deleta atendimento,web,2024-07-24 15:43:04,2024-07-24 15:43:04
